2010/1/1,2010/4/1,2010/7/1,2010/10/1,2011/1/1,2011/4/1,2011/7/1,2011/10/1,2012/1/1,2012/4/1,2012/7/1,2012/10/1,2013/1/1,2013/4/1,2013/7/1,2013/10/1,2014/1/1,2014/4/1,2014/7/1,2014/10/1,2015/1/1,2015/4/1,2015/7/1,2015/10/1,2016/1/1,2016/4/1,2016/7/1,2016/10/1,2017/1/1,2017/4/1,2017/7/1,2017/10/1,2018/1/1
RHT,RHT,RF,RDC,RDC,RDC,RAI,RAI,RDC,RF,RDC,RDC,R,R,RAI,RDC,RAI,RAI,RAI,R,RAI,RCL,R,R,RCL,RF,REGN,REGN,REGN,REGN,RCL,QRVO,QRVO
RL,RL,RHI,RF,RF,RF,RDC,RDC,RF,RHI,RF,RF,RAI,RAI,RDC,REGN,RDC,RDC,RDC,RAI,RCL,REGN,RAI,RAI,REGN,RHI,RF,RF,RF,RF,RE,RCL,RCL
ROK,ROK,RHT,RHI,RHI,RHI,RF,RF,RHI,RHT,RHI,RHI,RDC,RDC,REGN,RF,REGN,REGN,REGN,REGN,REGN,RF,RCL,RCL,RF,RHT,RHI,RHI,RHI,RHI,REG,RE,RE
ROP,ROP,RL,RHT,RHT,RHT,RHI,RHI,RHT,RL,RHT,RHT,RF,RF,RF,RHI,RF,RF,RF,RF,RF,RHI,REGN,REGN,RHI,RIG,RHT,RHT,RHT,RHT,REGN,REG,REG
ROST,ROST,ROK,RL,RL,RL,RHT,RHT,RL,ROK,RL,RL,RHI,RHI,RHI,RHT,RHI,RHI,RHI,RHI,RHI,RHT,RF,RF,RHT,RL,RIG,RIG,RIG,RIG,RF,REGN,REGN
RRC,RRC,ROP,ROK,ROK,ROK,RL,RL,ROK,ROP,ROK,ROK,RHT,RHT,RHT,RL,RHT,RHT,RHT,RHT,RHT,RIG,RHI,RHI,RIG,ROK,RL,RL,RL,RJF,RHI,RF,RF
RRD,RRD,ROST,ROP,ROP,ROP,ROK,ROK,ROP,ROST,ROP,ROP,RL,RL,RL,ROK,RIG,RIG,RIG,RIG,RIG,RL,RHT,RHT,RL,ROP,ROK,ROK,ROK,RL,RHT,RHI,RHI
RSG,RSG,RRC,ROST,ROST,ROST,ROP,ROP,ROST,RRC,ROST,ROST,ROK,ROK,ROK,ROP,RL,RL,RL,RL,RL,ROK,RIG,RIG,ROK,ROST,ROP,ROP,ROP,ROK,RIG,RHT,RHT
RSHCQ,RSHCQ,RRD,RRC,RRC,RRC,ROST,ROST,RRC,RRD,RRC,RRC,ROP,ROP,ROP,ROST,ROK,ROK,ROK,ROK,ROK,ROP,RL,RL,ROP,RRC,ROST,ROST,ROST,ROP,RJF,RJF,RJF
RTN,RTN,RSG,RRD,RRD,RRD,RRC,RRC,RRD,RSG,RRD,RRD,ROST,ROST,ROST,RRC,ROP,ROP,ROP,ROP,ROP,ROST,ROK,ROK,ROST,RSG,RRC,RRC,RRC,ROST,RL,RL,RL
RX,SBUX,RSHCQ,RSG,RSG,RSG,RRD,RRD,RSG,RTN,RSG,RSG,RRC,RRC,RRC,RSG,ROST,ROST,ROST,ROST,ROST,RRC,ROP,ROP,RRC,RTN,RSG,RSG,RSG,RRC,ROK,RMD,RMD
SBUX,SCG,RTN,RSHCQ,RSHCQ,RSHCQ,RSG,RSG,RTN,SBUX,RTN,RTN,RSG,RSG,RSG,RTN,RRC,RRC,RRC,RRC,RRC,RSG,ROST,ROST,RSG,SBUX,RTN,RTN,RTN,RSG,ROP,ROK,ROK
SCG,SCHW,SBUX,RTN,RTN,RTN,RTN,RTN,SBUX,SCG,SBUX,SBUX,RTN,RTN,RTN,SBUX,RSG,RSG,RSG,RSG,RSG,RTN,RRC,RRC,RTN,SCG,SBUX,SBUX,SBUX,RTN,ROST,ROP,ROP
SCHW,SEE,SCG,SBUX,SBUX,SBUX,SBUX,SBUX,SCG,SCHW,SCG,SCG,SBUX,SBUX,SBUX,SCG,RTN,RTN,RTN,RTN,RTN,SBUX,RSG,RSG,SBUX,SCHW,SCG,SCG,SCG,SBUX,RRC,ROST,ROST
SEE,SHLDQ,SCHW,SCG,SCG,SCG,SCG,SCG,SCHW,SEE,SCHW,SCHW,SCG,SCG,SCG,SCHW,SBUX,SBUX,SBUX,SBUX,SBUX,SCG,RTN,RTN,SCG,SEE,SCHW,SCHW,SCHW,SCG,RSG,RRC,RRC
SHLDQ,SHW,SEE,SCHW,SCHW,SCHW,SCHW,SCHW,SEE,SHLDQ,SEE,SEE,SCHW,SCHW,SCHW,SEE,SCG,SCG,SCG,SCG,SCG,SCHW,SBUX,SBUX,SCHW,SHW,SEE,SEE,SEE,SCHW,RTN,RSG,RSG
SHW,SIAL,SHLDQ,SEE,SEE,SEE,SEE,SEE,SHLDQ,SHW,SHLDQ,SHW,SEE,SEE,SEE,SHW,SCHW,SCHW,SCHW,SCHW,SCHW,SEE,SCG,SCG,SEE,SIG,SHW,SHW,SHW,SEE,SBUX,RTN,RTN
SIAL,SII,SHW,SHLDQ,SHLDQ,SHLDQ,SHLDQ,SHLDQ,SHW,SIAL,SHW,SIAL,SHW,SHW,SHW,SIAL,SEE,SEE,SEE,SEE,SEE,SHW,SCHW,SCHW,SHW,SJM,SIG,SIG,SIG,SHW,SCG,SBAC,SBAC
SII,SJM,SIAL,SHW,SHW,SHW,SHW,SHW,SIAL,SJM,SIAL,SJM,SIAL,SIAL,SIAL,SJM,SHW,SHW,SHW,SHW,SHW,SIAL,SEE,SEE,SIG,SLB,SJM,SJM,SJM,SIG,SCHW,SBUX,SBUX
SJM,SLB,SII,SIAL,SIAL,SIAL,SIAL,SIAL,SJM,SLB,SJM,SLB,SJM,SJM,SJM,SLB,SIAL,SIAL,SIAL,SIAL,SIAL,SJM,SHW,SHW,SJM,SLG,SLB,SLB,SLB,SJM,SEE,SCG,SCG
SLB,SLM,SJM,SJM,SJM,SJM,SJM,SJM,SLB,SLM,SLB,SLM,SLB,SLB,SLB,SLM,SJM,SJM,SJM,SJM,SJM,SLB,SIAL,SIAL,SLB,SNA,SLG,SLG,SLG,SLB,SHW,SCHW,SCHW
SLM,SNA,SLB,SLB,SLB,SLB,SLB,SLB,SLM,SNA,SLM,SNA,SLM,SLM,SLM,SNA,SLB,SLB,SLB,SLB,SLB,SLG,SJM,SIG,SLG,SNDK,SNA,SNA,SNA,SLG,SIG,SEE,SEE
SNA,SNDK,SLM,SLM,SLM,SLM,SLM,SLM,SNA,SNDK,SNA,SNDK,SNA,SNA,SNA,SNDK,SLM,SLM,SNA,SNA,SNA,SNA,SLB,SJM,SNA,SNI,SNI,SNI,SNI,SNA,SJM,SHW,SHW
SNDK,SNI,SNA,SNA,SNA,SNA,SNA,SNA,SNDK,SNI,SNDK,SNI,SNDK,SNDK,SNDK,SNI,SNA,SNA,SNDK,SNDK,SNDK,SNDK,SLG,SLB,SNDK,SO,SO,SO,SO,SNI,SLB,SIG,SIG
SNI,SO,SNDK,SNDK,SNDK,SNDK,SNDK,SNDK,SNI,SO,SNI,SO,SNI,SNI,SNI,SO,SNDK,SNDK,SNI,SNI,SNI,SNI,SNA,SLG,SNI,SPG,SPG,SPG,SPG,SNPS,SLG,SJM,SJM
SO,SPG,SNI,SNI,SNI,SNI,SNI,SNI,SO,SPG,SO,SPG,SO,SO,SO,SPG,SNI,SNI,SO,SO,SO,SO,SNDK,SNA,SO,SPGI,SPGI,SPGI,SPGI,SO,SNA,SLB,SLB
SPG,SPGI,SO,SO,SO,SO,SO,SO,SPG,SPGI,SPG,SPGI,SPG,SPG,SPG,SPGI,SO,SO,SPG,SPG,SPG,SPG,SNI,SNDK,SPG,SPLS,SPLS,SPLS,SPLS,SPG,SNI,SLG,SLG
SPGI,SPLS,SPG,SPG,SPG,SPG,SPG,SPG,SPGI,SPLS,SPGI,SPLS,SPGI,SPGI,SPGI,SPLS,SPG,SPG,SPGI,SPGI,SPGI,SPGI,SO,SNI,SPGI,SRCL,SRCL,SRCL,SRCL,SPGI,SNPS,SNA,SNA
SPLS,SRCL,SPGI,SPGI,SPGI,SPGI,SPGI,SPGI,SPLS,SRCL,SPLS,SRCL,SPLS,SPLS,SPLS,SRCL,SPGI,SPGI,SPLS,SPLS,SPLS,SPLS,SPG,SO,SPLS,SRE,SRE,SRE,SRE,SPLS,SO,SNI,SNI
SRCL,SRE,SPLS,SPLS,SPLS,SPLS,SPLS,SPLS,SRCL,SRE,SRCL,SRE,SRCL,SRCL,SRCL,SRE,SPLS,SPLS,SRCL,SRCL,SRCL,SRCL,SPGI,SPG,SRCL,STI,STI,STI,STI,SRCL,SPG,SNPS,SNPS
SRE,STI,SRCL,SRCL,SRCL,SRCL,SRCL,SRCL,SRE,STI,SRE,STI,SRE,SRE,SRE,STI,SRCL,SRCL,SRE,SRE,SRE,SRE,SPLS,SPGI,SRE,STJ,STJ,STJ,STJ,SRE,SPGI,SO,SO
STI,STJ,SRE,SRE,SRE,SRE,SRE,SRE,STI,STJ,STI,STJ,STI,STI,STI,STJ,SRE,SRE,STI,STI,STI,STI,SRCL,SPLS,STI,STT,STT,STT,STT,STI,SPLS,SPG,SPG
STJ,STR,STI,STI,STI,STI,STI,STI,STJ,STT,STJ,STT,STJ,STJ,STJ,STT,STI,STI,STJ,STJ,STJ,STJ,SRE,SRCL,STJ,STX,STX,STX,STX,STT,SRCL,SPGI,SPGI
STR,STT,STJ,STJ,STJ,STJ,STJ,STJ,STT,STZ,STT,STX,STT,STT,STT,STX,STJ,STJ,STT,STT,STT,STT,STI,SRE,STT,STZ,STZ,STZ,STZ,STX,SRE,SRCL,SRCL
STT,STZ,STT,STT,STT,STT,STT,STT,STZ,SVU,STZ,STZ,STX,STX,STX,STZ,STT,STT,STX,STX,STX,STX,STJ,STI,STX,SWK,SWK,SWK,SWK,STZ,STI,SRE,SRE
STZ,SUNEQ,STZ,STZ,STZ,STZ,STZ,STZ,SVU,SWK,SWK,SWK,STZ,STZ,STZ,SWK,STX,STX,STZ,STZ,STZ,STZ,STT,STJ,STZ,SWKS,SWKS,SWKS,SWKS,SWK,STT,STI,STI
SUNEQ,SVU,SUNEQ,SUNEQ,SUNEQ,SUNEQ,SUNEQ,SUNEQ,SWK,SWN,SWN,SWN,SWK,SWK,SWK,SWN,STZ,STZ,SWK,SWK,SWK,SWK,STX,STT,SWK,SWN,SWN,SWN,SWN,SWKS,STX,STT,STT
SVU,SWK,SVU,SVU,SVU,SVU,SVU,SVU,SWN,SWY,SWY,SWY,SWN,SWN,SWN,SWY,SWK,SWK,SWN,SWN,SWN,SWKS,STZ,STX,SWKS,SYF,SYF,SYF,SYF,SWN,STZ,STX,STX
SWK,SWN,SWK,SWK,SWK,SWK,SWK,SWK,SWY,SYK,SYK,SYK,SWY,SWY,SWY,SYK,SWN,SWN,SWY,SWY,SWY,SWN,SWK,STZ,SWN,SYK,SYK,SYK,SYK,SYF,SWK,STZ,STZ
SWN,SWY,SWN,SWN,SWN,SWN,SWN,SWN,SYK,SYMC,SYMC,SYMC,SYK,SYK,SYK,SYMC,SWY,SWY,SYK,SYK,SYK,SYK,SWKS,SWK,SYF,SYMC,SYMC,SYMC,SYMC,SYK,SWKS,SWK,SWK
SWY,SYK,SWY,SWY,SWY,SWY,SWY,SWY,SYMC,SYY,SYY,SYY,SYMC,SYMC,SYMC,SYY,SYK,SYK,SYMC,SYMC,SYMC,SYMC,SWN,SWKS,SYK,SYY,SYY,SYY,SYY,SYMC,SYF,SWKS,SWKS
SYK,SYMC,SYK,SYK,SYK,SYK,SYK,SYK,SYY,T,T,T,SYY,SYY,SYY,T,SYMC,SYMC,SYY,SYY,SYY,SYY,SYK,SWN,SYMC,T,T,T,T,SYY,SYK,SYF,SYF
SYMC,SYY,SYMC,SYMC,SYMC,SYMC,SYMC,SYMC,T,TAP,TAP,TAP,T,T,T,TAP,SYY,SYY,T,T,T,T,SYMC,SYK,SYY,TAP,TAP,TAP,TAP,T,SYMC,SYK,SYK
SYY,T,SYY,SYY,SYY,SYY,SYY,SYY,TAP,TDC,TDC,TDC,TAP,TAP,TAP,TDC,T,T,TAP,TAP,TAP,TAP,SYY,SYMC,T,TDC,TDC,TDC,TDC,TAP,SYY,SYMC,SYMC
T,TAP,T,T,T,T,T,T,TDC,TEG,TEG,TEG,TDC,TDC,TDC,TEG,TAP,TAP,TDC,TDC,TDC,TDC,T,SYY,TAP,TEL,TDG,TDG,TDG,TDC,T,SYY,SYY
TAP,TDC,TAP,TAP,TAP,TAP,TAP,TAP,TEG,TEL,TEL,TEL,TEG,TEG,TEG,TEL,TDC,TDC,TEG,TEG,TEG,TEG,TAP,T,TDC,TGNA,TEL,TEL,TEL,TDG,TAP,T,T
TDC,TEG,TDC,TDC,TDC,TDC,TDC,TDC,TEL,TER,TER,TER,TEL,TEL,TEL,TER,TEG,TEG,TEL,TEL,TEL,TEL,TDC,TAP,TEL,TGT,TGNA,TGNA,TGNA,TEL,TDG,TAP,TAP
TEG,TER,TEG,TEG,TEG,TEG,TEG,TEG,TER,TGNA,TGNA,TGNA,TER,TER,TER,TGNA,TEL,TEL,TGNA,TGNA,TGNA,TGNA,TEL,TDC,TGNA,THC,TGT,TGT,TGT,TGNA,TEL,TDG,TDG
TER,TGNA,TER,TER,TER,TER,TER,TER,TGNA,TGT,TGT,TGT,TGNA,TGNA,TGNA,TGT,TGNA,TGNA,TGT,TGT,TGT,TGT,TGNA,TEL,TGT,TIF,TIF,TIF,TIF,TGT,TGT,TEL,TEL
TGNA,TGT,TGNA,TGNA,TGNA,TGNA,TGNA,TGNA,TGT,THC,THC,THC,TGT,TGT,TGT,THC,TGT,TGT,THC,THC,THC,THC,TGT,TGNA,THC,TJX,TJX,TJX,TJX,TIF,TIF,TGT,TGT
TGT,THC,TGT,TGT,TGT,TGT,TGT,TGT,THC,TIE,TIE,TIE,THC,THC,THC,TIF,THC,THC,TIF,TIF,TIF,TIF,THC,TGT,TIF,TMK,TMK,TMK,TMK,TJX,TJX,TIF,TIF
THC,TIE,THC,THC,THC,THC,THC,THC,TIE,TIF,TIF,TIF,TIF,TIF,TIF,TJX,TIF,TIF,TJX,TJX,TJX,TJX,TIF,THC,TJX,TMO,TMO,TMO,TMO,TMK,TMK,TJX,TJX
TIE,TIF,TIE,TIE,TIE,TIE,TIE,TIE,TIF,TJX,TJX,TJX,TJX,TJX,TJX,TMK,TJX,TJX,TMK,TMK,TMK,TMK,TJX,TIF,TMK,TPR,TPR,TPR,TPR,TMO,TMO,TMK,TMK
TIF,TJX,TIF,TIF,TIF,TIF,TIF,TIF,TJX,TMK,TMK,TMK,TMK,TMK,TMK,TMO,TMK,TMK,TMO,TMO,TMO,TMO,TMK,TJX,TMO,TRIP,TRIP,TRIP,TRIP,TPR,TPR,TMO,TMO
TJX,TLAB,TJX,TJX,TJX,TJX,TJX,TJX,TMK,TMO,TMO,TMO,TMO,TMO,TMO,TPR,TMO,TMO,TPR,TPR,TPR,TPR,TMO,TMK,TPR,TROW,TROW,TROW,TROW,TRIP,TRIP,TPR,TPR
TLAB,TMK,TLAB,TLAB,TLAB,TLAB,TLAB,TLAB,TMO,TMUS,TMUS,TMUS,TMUS,TMUS,TPR,TRIP,TPR,TPR,TRIP,TRIP,TRIP,TRIP,TPR,TMO,TRIP,TRV,TRV,TRV,TRV,TROW,TROW,TRIP,TRIP
TMK,TMO,TMK,TMK,TMK,TMK,TMK,TMK,TMUS,TPR,TPR,TPR,TPR,TPR,TRIP,TROW,TRIP,TRIP,TROW,TROW,TROW,TROW,TRIP,TPR,TROW,TSCO,TSCO,TSCO,TSCO,TRV,TRV,TROW,TROW
TMO,TMUS,TMO,TMO,TMO,TMO,TMO,TMO,TPR,TRIP,TRIP,TRIP,TRIP,TRIP,TROW,TRV,TROW,TROW,TRV,TRV,TRV,TRV,TROW,TRIP,TRV,TSN,TSN,TSN,TSN,TSCO,TSCO,TRV,TRV
TMUS,TPR,TMUS,TMUS,TMUS,TMUS,TMUS,TMUS,TRIP,TROW,TROW,TROW,TROW,TROW,TRV,TSN,TRV,TRV,TSCO,TSCO,TSCO,TSCO,TRV,TROW,TSCO,TSS,TSS,TSS,TSS,TSN,TSN,TSCO,TSCO
TPR,TROW,TPR,TPR,TPR,TPR,TPR,TPR,TROW,TRV,TRV,TRV,TRV,TRV,TSN,TSS,TSN,TSCO,TSN,TSN,TSN,TSN,TSCO,TRV,TSN,TWC,TWX,TWX,TWX,TSS,TSS,TSN,TSN
TROW,TRV,TROW,TROW,TROW,TROW,TROW,TROW,TRV,TSN,TSN,TSN,TSN,TSN,TSS,TWC,TSS,TSN,TSS,TSS,TSS,TSS,TSN,TSCO,TSS,TWX,TXN,TXN,TXN,TWX,TWX,TSS,TSS
TRV,TSN,TRV,TRV,TRV,TRV,TRV,TRV,TSN,TSS,TSS,TSS,TSS,TSS,TWC,TWX,TWC,TSS,TWC,TWC,TWC,TWC,TSS,TSN,TWC,TXN,TXT,TXT,TXT,TXN,TXN,TWX,TWX
TSN,TSS,TSN,TSN,TSN,TSN,TSN,TSN,TSS,TWC,TWC,TWC,TWC,TWC,TWX,TXN,TWX,TWC,TWX,TWX,TWX,TWX,TWC,TSS,TWX,TXT,UA,UA,UA,TXT,TXT,TXN,TXN
TSS,TWC,TSS,TSS,TSS,TSS,TSS,TSS,TWC,TWX,TWX,TWX,TWX,TWX,TXN,TXT,TXN,TWX,TXN,TXN,TXN,TXN,TWX,TWC,TXN,UAA,UAA,UAA,UAA,UA,UA,TXT,TXT
TWC,TWX,TWC,TWC,TWC,TWC,TWC,TWC,TWX,TXN,TXN,TXN,TXN,TXN,TXT,UNH,TXT,TXN,TXT,TXT,TXT,TXT,TXN,TWX,TXT,UAL,UAL,UAL,UAL,UAA,UAA,UA,UA
TWX,TXN,TWX,TWX,TWX,TWX,TWX,TWX,TXN,TXT,TXT,TXT,TXT,TXT,UNH,UNM,UNH,TXT,UAA,UAA,UAA,UAA,TXT,TXN,UAA,UDR,UDR,UDR,UDR,UAL,UAL,UAA,UAA
TXN,TXT,TXN,TXN,TXN,TXN,TXN,TXN,TXT,UNH,UNH,UNH,UNH,UNH,UNM,UNP,UNM,UNH,UNH,UHS,UHS,UHS,UAA,TXT,UAL,UHS,UHS,UHS,UHS,UDR,UDR,UAL,UAL
TXT,UNH,TXT,TXT,TXT,TXT,TXT,TXT,UNH,UNM,UNM,UNM,UNM,UNM,UNP,UPS,UNP,UNM,UNM,UNH,UNH,UNH,UHS,UAA,UHS,UNH,ULTA,ULTA,ULTA,UHS,UHS,UDR,UDR
UNH,UNM,UNH,UNH,UNH,UNH,UNH,UNH,UNM,UNP,UNP,UNP,UNP,UNP,UPS,URBN,UPS,UNP,UNP,UNM,UNM,UNM,UNH,UAL,UNH,UNM,UNH,UNH,UNH,ULTA,ULTA,UHS,UHS
UNM,UNP,UNM,UNM,UNM,UNM,UNM,UNM,UNP,UPS,UPS,UPS,UPS,UPS,URBN,USB,URBN,UPS,UPS,UNP,UNP,UNP,UNM,UHS,UNM,UNP,UNM,UNM,UNM,UNH,UNH,ULTA,ULTA
UNP,UPS,UNP,UNP,UNP,UNP,UNP,UNP,UPS,URBN,URBN,URBN,URBN,URBN,USB,UTX,USB,URBN,URBN,UPS,UPS,UPS,UNP,UNH,UNP,UPS,UNP,UNP,UNP,UNM,UNM,UNH,UNH
UPS,URBN,UPS,UPS,UPS,UPS,UPS,UPS,URBN,USB,USB,USB,USB,USB,UTX,V,UTX,USB,USB,URBN,URBN,URBN,UPS,UNM,UPS,URBN,UPS,UPS,UPS,UNP,UNP,UNM,UNM
USB,USB,URBN,URBN,URBN,URBN,URBN,URBN,USB,UTX,UTX,UTX,UTX,UTX,V,VAR,V,UTX,UTX,URI,URI,URI,URBN,UNP,URBN,URI,URBN,URBN,URBN,UPS,UPS,UNP,UNP
UTX,UTX,USB,USB,USB,USB,USB,USB,UTX,V,V,V,V,V,VAR,VFC,VAR,V,V,USB,USB,USB,URI,UPS,URI,USB,URI,URI,URI,URI,URI,UPS,UPS
V,V,UTX,UTX,UTX,UTX,UTX,UTX,V,VAR,VAR,VAR,VAR,VAR,VFC,VIAB,VFC,VAR,VAR,UTX,UTX,UTX,USB,URBN,USB,UTX,USB,USB,USB,USB,USB,URI,URI
VAR,VAR,V,V,V,V,V,V,VAR,VFC,VFC,VFC,VFC,VFC,VIAB,VIAV,VIAB,VFC,VFC,V,V,V,UTX,URI,UTX,V,UTX,UTX,UTX,UTX,UTX,USB,USB
VFC,VFC,VAR,VAR,VAR,VAR,VAR,VAR,VFC,VIAB,VIAB,VIAB,VIAB,VIAB,VIAV,VLO,VLO,VIAB,VIAB,VAR,VAR,VAR,V,USB,V,VAR,V,V,V,V,V,UTX,UTX
VIAB,VIAB,VFC,VFC,VFC,VFC,VFC,VFC,VIAB,VIAV,VIAV,VIAV,VIAV,VIAV,VLO,VMC,VMC,VLO,VLO,VFC,VFC,VFC,VAR,UTX,VAR,VFC,VAR,VAR,VAR,VAR,VAR,V,V
VIAV,VIAV,VIAB,VIAB,VIAB,VIAB,VIAB,VIAB,VIAV,VLO,VLO,VLO,VLO,VLO,VMC,VNO,VNO,VMC,VMC,VIAB,VIAB,VIAB,VFC,V,VFC,VIAB,VFC,VFC,VFC,VFC,VFC,VAR,VAR
VLO,VLO,VIAV,VIAV,VIAV,VIAV,VIAV,VIAV,VLO,VMC,VMC,VMC,VMC,VMC,VNO,VRSN,VRSN,VNO,VNO,VLO,VLO,VLO,VIAB,VAR,VIAB,VLO,VIAB,VIAB,VIAB,VIAB,VIAB,VFC,VFC
VMC,VMC,VLO,VLO,VLO,VLO,VLO,VLO,VMC,VNO,VNO,VNO,VNO,VNO,VRSN,VRTX,VRTX,VRSN,VRSN,VMC,VMC,VMC,VLO,VFC,VLO,VMC,VLO,VLO,VLO,VLO,VLO,VIAB,VIAB
VNO,VNO,VMC,VMC,VMC,VMC,VMC,VMC,VNO,VRSN,VRSN,VRSN,VRSN,VRSN,VTR,VTR,VTR,VRTX,VRTX,VNO,VNO,VNO,VMC,VIAB,VMC,VNO,VMC,VMC,VMC,VMC,VMC,VLO,VLO
VRSN,VRSN,VNO,VNO,VNO,VNO,VNO,VNO,VRSN,VTR,VTR,VTR,VTR,VTR,VZ,VZ,VZ,VTR,VTR,VRSN,VRSN,VRSN,VNO,VLO,VNO,VRSK,VNO,VNO,VNO,VNO,VNO,VMC,VMC
VTR,VTR,VRSN,VRSN,VRSN,VRSN,VRSN,VRSN,VTR,VZ,VZ,VZ,VZ,VZ,WAT,WAT,WAT,VZ,VZ,VRTX,VRTX,VRTX,VRSN,VMC,VRSK,VRSN,VRSK,VRSK,VRSK,VRSK,VRSK,VNO,VNO
VZ,VZ,VTR,VTR,VTR,VTR,VTR,VTR,VZ,WAT,WAT,WAT,WAT,WAT,WBA,WBA,WBA,WAT,WAT,VTR,VTR,VTR,VRTX,VNO,VRSN,VRTX,VRSN,VRSN,VRSN,VRSN,VRSN,VRSK,VRSK
WAT,WAT,VZ,VZ,VZ,VZ,VZ,VZ,WAT,WBA,WBA,WBA,WBA,WBA,WDC,WDC,WDC,WBA,WBA,VZ,VZ,VZ,VTR,VRSN,VRTX,VTR,VRTX,VRTX,VRTX,VRTX,VRTX,VRSN,VRSN
WBA,WBA,WAT,WAT,WAT,WAT,WAT,WAT,WBA,WDC,WDC,WDC,WDC,WDC,WEC,WEC,WEC,WDC,WDC,WAT,WAT,WAT,VZ,VRTX,VTR,VZ,VTR,VTR,VTR,VTR,VTR,VRTX,VRTX
WDC,WDC,WBA,WBA,WBA,WBA,WBA,WBA,WDC,WEC,WEC,WEC,WEC,WEC,WELL,WELL,WELL,WEC,WEC,WBA,WBA,WBA,WAT,VTR,VZ,WAT,VZ,VZ,VZ,VZ,VZ,VTR,VTR
WEC,WEC,WDC,WDC,WDC,WDC,WDC,WDC,WEC,WELL,WELL,WELL,WELL,WELL,WFC,WFC,WFC,WELL,WELL,WDC,WDC,WDC,WBA,VZ,WAT,WBA,WAT,WAT,WAT,WAT,WAT,VZ,VZ
WELL,WELL,WEC,WEC,WEC,WEC,WEC,WEC,WELL,WFC,WFC,WFC,WFC,WFC,WFM,WFM,WFM,WFC,WFC,WEC,WEC,WEC,WDC,WAT,WBA,WDC,WBA,WBA,WBA,WBA,WBA,WAT,WAT
WFC,WFC,WELL,WELL,WELL,WELL,WELL,WELL,WFC,WFM,WFM,WFM,WFM,WFM,WHR,WHR,WHR,WFM,WFM,WELL,WELL,WELL,WEC,WBA,WDC,WEC,WDC,WDC,WDC,WDC,WDC,WBA,WBA
WFM,WFM,WFC,WFC,WFC,WFC,WFC,WFC,WFM,WHR,WHR,WHR,WHR,WHR,WIN,WIN,WIN,WHR,WHR,WFC,WFC,WFC,WELL,WDC,WEC,WELL,WEC,WEC,WEC,WEC,WEC,WDC,WDC
WHR,WHR,WFM,WFM,WFM,WFM,WFM,WFM,WHR,WIN,WIN,WIN,WIN,WIN,WM,WM,WM,WIN,WIN,WFM,WFM,WFM,WFC,WEC,WELL,WFC,WELL,WELL,WELL,WELL,WELL,WEC,WEC
WIN,WIN,WHR,WHR,WHR,WHR,WHR,WHR,WIN,WM,WM,WM,WM,WM,WMB,WMB,WMB,WM,WM,WHR,WHR,WHR,WFM,WELL,WFC,WFM,WFC,WFC,WFC,WFC,WFC,WELL,WELL
WM,WM,WIN,WIN,WIN,WIN,WIN,WIN,WM,WMB,WMB,WMB,WMB,WMB,WMT,WMT,WMT,WMB,WMB,WIN,WIN,WIN,WHR,WFC,WFM,WHR,WFM,WFM,WFM,WFM,WFM,WFC,WFC
WMB,WMB,WM,WM,WM,WM,WM,WM,WMB,WMT,WMT,WMT,WMT,WMT,WPX,WPX,WPX,WMT,WMT,WM,WM,WM,WM,WFM,WHR,WLTW,WHR,WHR,WHR,WHR,WHR,WHR,WHR
WMT,WMT,WMB,WMB,WMB,WMB,WMB,WMB,WMT,WPX,WPX,WPX,WPX,WPX,WU,WU,WU,WU,WU,WMB,WMB,WMB,WMB,WHR,WM,WM,WLTW,WLTW,WLTW,WLTW,WLTW,WLTW,WLTW
WU,WU,WMT,WMT,WMT,WMT,WMT,WMT,WU,WU,WU,WU,WU,WU,WY,WY,WY,WY,WY,WMT,WMT,WMT,WMT,WM,WMB,WMB,WM,WM,WM,WM,WM,WM,WM
WY,WY,WU,WU,WU,WU,WU,WU,WY,WY,WY,WY,WY,WY,WYND,WYND,WYND,WYND,WYND,WU,WU,WU,WU,WMB,WMT,WMT,WMB,WMB,WMB,WMB,WMB,WMB,WMB
WYND,WYND,WY,WY,WY,WY,WY,WY,WYND,WYND,WYND,WYND,WYND,WYND,WYNN,WYNN,WYNN,WYNN,WYNN,WY,WY,WY,WY,WMT,WRK,WRK,WMT,WMT,WMT,WMT,WMT,WMT,WMT
WYNN,WYNN,WYND,WYND,WYND,WYND,WYND,WYND,WYNN,WYNN,WYNN,WYNN,WYNN,WYNN,X,X,X,X,X,WYND,WYND,WYND,WYND,WRK,WU,WU,WRK,WRK,WRK,WRK,WRK,WRK,WRK
X,X,WYNN,WYNN,WYNN,WYNN,WYNN,WYNN,X,X,X,X,X,X,XEL,XEL,XEL,XEL,XEC,WYNN,WYNN,WYNN,WYNN,WU,WY,WY,WU,WU,WU,WU,WU,WU,WU
XEL,XEL,X,X,X,X,X,X,XEL,XEL,XEL,XEL,XEL,XEL,XL,XL,XL,XL,XEL,XEC,XEC,XEC,XEC,WY,WYND,WYND,WY,WY,WY,WY,WY,WY,WY
XL,XL,XEL,XEL,XEL,XEL,XEL,XEL,XL,XL,XL,XL,XL,XL,XLNX,XLNX,XLNX,XLNX,XL,XEL,XEL,XEL,XEL,WYND,WYNN,WYNN,WYND,WYND,WYND,WYND,WYND,WYND,WYND
