2010/1/1,2010/4/1,2010/7/1,2010/10/1,2011/1/1,2011/4/1,2011/7/1,2011/10/1,2012/1/1,2012/4/1,2012/7/1,2012/10/1,2013/1/1,2013/4/1,2013/7/1,2013/10/1,2014/1/1,2014/4/1,2014/7/1,2014/10/1,2015/1/1,2015/4/1,2015/7/1,2015/10/1,2016/1/1,2016/4/1,2016/7/1,2016/10/1,2017/1/1,2017/4/1,2017/7/1,2017/10/1,2018/1/1
MS,MSFT,MS,MRO,MRK,MRK,MPC,MPC,MRK,MRO,MRO,MS,MRO,MS,MSI,MTB,MSFT,MSFT,MSI,MSFT,MSI,MSFT,MS,MS,MSI,MSFT,MS,MSFT,MS,MS,MPC,MON,MOS
MSFT,MSI,MSFT,MS,MRO,MRO,MRK,MRK,MRO,MS,MS,MSFT,MS,MSFT,MTB,MU,MSI,MSI,MTB,MSI,MTB,MSI,MSFT,MSFT,MTB,MSI,MSFT,MSI,MSFT,MSFT,MRK,MOS,MPC
MSI,MTB,MSI,MSFT,MS,MS,MRO,MRO,MS,MSFT,MSFT,MSI,MSFT,MSI,MU,MUR,MTB,MTB,MU,MTB,MU,MTB,MSI,MSI,MU,MTB,MSI,MTB,MSI,MSI,MRO,MPC,MRK
MTB,MU,MTB,MSI,MSFT,MSFT,MS,MS,MSFT,MSI,MSI,MTB,MSI,MTB,MUR,MWV,MU,MU,MUR,MU,MUR,MU,MTB,MTB,MUR,MU,MTB,MTD,MTB,MTB,MS,MRK,MRO
MU,MUR,MU,MTB,MSI,MSI,MSFT,MSFT,MSI,MTB,MTB,MU,MTB,MU,MWV,MYL,MUR,MUR,MWV,MUR,MWV,MUR,MU,MU,MYL,MUR,MU,MU,MTD,MTD,MSFT,MRO,MS
MUR,MWV,MUR,MU,MTB,MTB,MSI,MSI,MTB,MU,MU,MUR,MU,MUR,MYL,NBL,MWV,MWV,MYL,MWV,MYL,MWV,MUR,MUR,NAVI,MYL,MUR,MUR,MU,MU,MSI,MS,MSFT
MWV,MWW,MWV,MUR,MU,MU,MTB,MTB,MU,MUR,MUR,MWV,MUR,MWV,NBL,NBR,MYL,MYL,NAVI,MYL,NAVI,MYL,MWV,MYL,NBL,NAVI,MYL,MYL,MUR,MUR,MTB,MSFT,MSI
MWW,MYL,MWW,MWV,MUR,MUR,MU,MU,MUR,MWV,MWV,MYL,MWV,MYL,NBR,NDAQ,NBL,NBL,NBL,NAVI,NBL,NAVI,MYL,NAVI,NDAQ,NBL,NAVI,NAVI,MYL,MYL,MTD,MSI,MTB
MYL,NBL,MYL,MWW,MWV,MWV,MUR,MUR,MWV,MYL,MYL,NBL,MYL,NBL,NDAQ,NE,NBR,NBR,NBR,NBL,NBR,NBL,NAVI,NBL,NEE,NDAQ,NBL,NBL,NAVI,NAVI,MU,MTB,MTD
NBL,NBR,NBL,MYL,MWW,MWW,MWV,MWV,MYL,NBL,NBL,NBR,NBL,NBR,NE,NEE,NDAQ,NDAQ,NDAQ,NBR,NDAQ,NDAQ,NBL,NDAQ,NEM,NEE,NDAQ,NDAQ,NBL,NBL,MUR,MTD,MU
NBR,NDAQ,NBR,NBL,MYL,MYL,MWW,MWW,NBL,NBR,NBR,NDAQ,NBR,NDAQ,NEE,NEM,NE,NE,NE,NDAQ,NE,NE,NDAQ,NEE,NFLX,NEM,NEE,NEE,NDAQ,NDAQ,MYL,MU,MYL
NDAQ,NEE,NDAQ,NBR,NBL,NBL,MYL,MYL,NBR,NDAQ,NDAQ,NE,NDAQ,NE,NEM,NFLX,NEE,NEE,NEE,NE,NEE,NEE,NE,NEM,NFX,NFLX,NEM,NEM,NEE,NEE,NAVI,MYL,NAVI
NEE,NEM,NEE,NDAQ,NBR,NBR,NBL,NBL,NDAQ,NE,NE,NEE,NE,NEE,NFLX,NFX,NEM,NEM,NEM,NEE,NEM,NEM,NEE,NFLX,NI,NFX,NFLX,NFLX,NEM,NEM,NBL,NAVI,NBL
NEM,NI,NEM,NEE,NDAQ,NDAQ,NBR,NBR,NE,NEE,NEE,NEM,NEE,NEM,NFX,NI,NFLX,NFLX,NFLX,NEM,NFLX,NFLX,NEM,NFX,NKE,NI,NFX,NFX,NFLX,NFLX,NDAQ,NBL,NCLH
NI,NKE,NI,NEM,NEE,NE,NDAQ,NDAQ,NEE,NEM,NEM,NFLX,NEM,NFLX,NI,NKE,NFX,NFX,NFX,NFLX,NFX,NFX,NFLX,NI,NLSN,NKE,NI,NI,NFX,NFX,NEE,NDAQ,NDAQ
NKE,NOC,NKE,NI,NEM,NEE,NE,NE,NEM,NFLX,NFLX,NFX,NFLX,NFX,NKE,NOC,NI,NI,NI,NFX,NI,NI,NFX,NKE,NOC,NLSN,NKE,NKE,NI,NI,NEM,NEE,NEE
NOC,NOV,NOC,NKE,NFLX,NEM,NEE,NEE,NFLX,NFX,NFX,NI,NFX,NI,NOC,NOV,NKE,NKE,NKE,NI,NKE,NKE,NI,NLSN,NOV,NOC,NLSN,NLSN,NKE,NKE,NFLX,NEM,NEM
NOV,NOVL,NOV,NOC,NFX,NFLX,NEM,NEM,NFX,NI,NI,NKE,NI,NKE,NOV,NRG,NOC,NOC,NOC,NKE,NOC,NOC,NKE,NOC,NRG,NOV,NOC,NOC,NLSN,NLSN,NFX,NFLX,NFLX
NOVL,NRG,NOVL,NOV,NI,NFX,NFLX,NFLX,NI,NKE,NKE,NOC,NKE,NOC,NRG,NSC,NOV,NOV,NOV,NOC,NOV,NOV,NOC,NOV,NSC,NRG,NOV,NOV,NOC,NOC,NI,NFX,NFX
NSC,NSC,NRG,NOVL,NKE,NI,NFX,NFX,NKE,NOC,NOC,NOV,NOC,NOV,NSC,NTAP,NRG,NRG,NRG,NOV,NRG,NRG,NOV,NRG,NTAP,NSC,NRG,NRG,NOV,NOV,NKE,NI,NI
NTAP,NTAP,NSC,NRG,NOC,NKE,NI,NI,NOC,NOV,NOV,NRG,NOV,NRG,NTAP,NTRS,NSC,NSC,NSC,NRG,NSC,NSC,NRG,NSC,NTRS,NTAP,NSC,NSC,NRG,NRG,NLSN,NKE,NKE
NTRS,NTRS,NTAP,NSC,NOV,NOC,NKE,NKE,NOV,NRG,NRG,NSC,NRG,NSC,NTRS,NUE,NTAP,NTAP,NTAP,NSC,NTAP,NTAP,NSC,NTAP,NUE,NTRS,NTAP,NTAP,NSC,NSC,NOC,NLSN,NLSN
NUE,NUE,NTRS,NTAP,NOVL,NOV,NOC,NOC,NRG,NSC,NSC,NTAP,NSC,NTAP,NUE,NVDA,NTRS,NTRS,NTRS,NTAP,NTRS,NTRS,NTAP,NTRS,NVDA,NUE,NTRS,NTRS,NTAP,NTAP,NOV,NOC,NOC
NVDA,NVDA,NUE,NTRS,NRG,NOVL,NOV,NOV,NSC,NTAP,NTAP,NTRS,NTAP,NTRS,NVDA,NWL,NUE,NUE,NUE,NTRS,NUE,NUE,NTRS,NUE,NWL,NVDA,NUE,NUE,NTRS,NTRS,NRG,NOV,NOV
NWL,NWL,NVDA,NUE,NSC,NRG,NRG,NRG,NTAP,NTRS,NTRS,NUE,NTRS,NUE,NWL,NWSA,NVDA,NVDA,NVDA,NUE,NVDA,NVDA,NUE,NVDA,NWS,NWL,NVDA,NVDA,NUE,NUE,NSC,NRG,NRG
NYT,NYT,NWL,NVDA,NTAP,NSC,NSC,NSC,NTRS,NUE,NUE,NVDA,NUE,NVDA,NWSA,NYX,NWL,NWL,NWL,NVDA,NWL,NWL,NVDA,NWL,NWSA,NWS,NWL,NWL,NVDA,NVDA,NTAP,NSC,NSC
