Date,SP500,APPL,AMZN,AMD,IBM,MSFT
2010-04-16,1192.130005,23.667795,142.169998,9.81,100.701225,24.611835
2010-04-19,1197.52002,23.636226999999998,142.429993,9.58,101.934593,24.908749
2010-04-20,1207.170044,23.398975,144.199997,9.77,99.97657,25.165539000000003
2010-04-21,1205.939941,24.798574,146.429993,9.78,99.43695799999999,25.141466
2010-04-22,1208.670044,25.492147,150.08999599999999,9.86,99.544884,25.189615
2010-04-23,1217.280029,25.909252,143.630005,9.76,100.207832,24.844555
2010-04-26,1212.050049,25.782022,147.110001,9.97,100.77828199999999,24.964922
2010-04-27,1183.709961,25.068346,142.020004,9.58,99.30589300000001,24.756279
2010-04-28,1191.359985,25.026253,139.350006,9.55,100.29261,24.804423999999997
2010-04-29,1206.780029,25.699749,141.729996,9.72,100.57016800000001,24.876652
2010-04-30,1186.689941,24.977465,137.100006,9.07,99.444641,24.507513
2010-05-03,1202.26001,25.480667,137.490005,9.29,99.90718100000001,24.764302999999998
2010-05-04,1173.599976,24.746907999999998,129.830002,8.68,98.766266,24.178503
2010-05-05,1165.869995,24.489573,130.929993,8.58,98.257492,23.953804
2010-05-06,1128.150024,23.557776999999998,128.71000700000002,8.27,96.018211,23.255657
2010-05-07,1110.880005,22.563812,124.980003,8.38,94.607986,22.637753
2010-05-10,1159.72998,24.298233,131.28999299999998,8.99,97.839073,23.223557999999997
2010-05-11,1155.790039,24.54027,130.46000700000002,9.07,98.319458,23.175404
2010-05-12,1171.670044,25.07313,133.869995,9.49,102.805809,23.624798000000002
2010-05-13,1157.439941,24.716295000000002,131.470001,9.42,101.876007,23.464302
2010-05-14,1135.680054,24.281975,128.529999,8.8,101.651291,23.215528
2010-05-17,1136.939941,24.320242,128.91000400000001,8.85,101.070145,23.223557999999997
2010-05-18,1120.800049,24.142301999999997,126.279999,8.42,100.69046800000001,23.054270000000002
2010-05-19,1115.050049,23.757723000000002,124.589996,8.47,99.845901,22.764074
2010-05-20,1071.589966,22.745570999999998,119.709999,8.09,95.925232,21.853197
2010-05-21,1087.689941,23.181812,122.720001,8.4,97.180428,21.635544
2010-05-24,1073.650024,23.606569,122.120003,8.09,96.428871,21.176081
2010-05-25,1074.030029,23.459248000000002,124.860001,8.15,96.48309300000001,21.014855999999998
2010-05-26,1067.949951,23.35305,123.209999,8.22,95.483574,20.160397
2010-05-27,1103.060059,24.237003,126.699997,8.8,97.932045,20.958433
2010-05-28,1089.410034,24.574713,125.459999,8.57,97.05648000000001,20.797214999999998
2010-06-01,1070.709961,24.952587,123.239998,8.14,96.34362800000001,20.869760999999997
2010-06-02,1098.380005,25.251074,126.309998,8.54,98.722404,21.329241
2010-06-03,1102.829956,25.171667000000003,128.759995,8.69,99.148567,21.651672
2010-06-04,1064.880005,24.486701999999998,122.769997,8.11,97.07198299999999,20.789156
2010-06-07,1050.469971,24.006456,122.010002,7.71,96.18089300000001,20.386105
2010-06-08,1062.0,23.852427,118.839996,7.77,95.863235,20.241013
2010-06-09,1055.689941,23.265999,117.910004,7.61,96.002716,19.983059
2010-06-10,1086.839966,23.965321,123.209999,8.01,98.931618,20.152336
