Date,S&P,ADBE,AMD,CAT,XTO,XYL
20100421,-0.001019517,-0.000286041,0.001023476,0.003697157,-0.001445044,
20100422,0.002261321,0.02962579,0.008146725,-0.003548288,-0.003311477,
20100423,0.007098268,0.007753861,-0.01019378,0.018637243,0.007640735,
20100426,-0.004305704,-0.002762813,0.021287798,0.040879913,0.001028471,
20100427,-0.02365964,-0.022661851,-0.039902626,-0.044521538,-0.015742262,
20100428,0.006441958,0.003672249,-0.003136915,0.006400473,0.016358468,
20100429,0.01286018,-0.014482365,0.017644418,0.025480595,-0.01032209,
20100430,-0.01678781,-0.039678898,-0.069212896,-0.038321997,-0.014000552,
20100503,0.013035258,-0.000298044,0.023966495,0.026807448,-0.000842355,
20100504,-0.0241272,-0.013487549,-0.067917022,-0.047432336,-0.018707907,
20100505,-0.006608342,-0.005446807,-0.011587881,-0.011155997,-0.003224192,
20100506,-0.032888441,-0.014362651,-0.036799886,-0.038008248,-0.03661523,
20100507,-0.015426646,-0.002157325,0.013213318,-0.022293667,-0.006047248,
20100510,0.043034704,0.055786584,0.070264596,0.071308987,0.027914733,
20100511,-0.003403076,-0.014100953,0.008859637,-0.009340487,-0.007236118,
20100512,0.013645992,0.02915678,0.045266822,0.030996603,0.007672491,
20100513,-0.0122195,-0.011270272,-0.007403337,-0.018362565,-0.004596548,
20100514,-0.018978981,-0.02025577,-0.068082928,-0.030808753,-0.016814576,
20100517,0.001108753,0.002665445,0.005665918,-0.017099364,-0.006042217,
20100518,-0.014297632,-0.015800168,-0.049808082,-0.009294056,-0.008566589,
20100519,-0.005143469,-0.012091812,0.00592044,-0.028084709,-0.001358923,
20100520,-0.039755795,-0.035287339,-0.04590154,-0.046132948,-0.033424424,
20100521,0.014912632,0.013767788,0.037603059,0.023914749,0.009796854,
20100524,-0.012992046,-0.017238737,-0.037603222,-0.014583829,-0.011908627,
20100525,0.000353874,-0.002532203,0.007389629,-0.000169014,-0.007545395,
20100526,-0.005677078,-0.019523346,0.008552324,0.008743663,-0.00903469,
20100527,0.032347313,0.039916625,0.068181876,0.038267374,0.035659572,
20100528,-0.012451893,-0.003733963,-0.026483615,-0.021169501,-0.015093333,
20100601,-0.017314353,0.001557786,-0.051477522,-0.024828697,-0.021761064,
20100602,0.025514428,0.02489747,0.047970781,0.026472491,0.026662379,
20100603,0.004043192,-0.001214737,0.017411536,0.004099585,0.013413634,
20100604,-0.035017442,-0.040553281,-0.069692044,-0.056378835,-0.032927199,
20100607,-0.013624466,-0.016998662,-0.049962601,-0.033985003,-0.005952682,
20100608,0.010916267,-0.001933869,0.007751876,0.013874305,0.033813814,
20100609,-0.005959397,-0.008748154,-0.020806971,0.003526774,-0.021706899,
20100610,0.029079846,0.031707947,0.051227192,0.053798554,0.034097999,
20100611,0.004370116,0.00031495,0.013639557,0.004660125,-0.001825666,
20100614,-0.001806294,-0.000945447,0.019512389,0.012702974,-0.008488929,
20100615,0.02322245,0.025231004,0.063178534,0.039536048,0.018943435,
20100616,-0.00055609,-0.002155321,0.009029115,0.014548653,-0.00067823,
20100617,0.001282186,0.02074532,0.001123369,0.008659399,0.002485908,
20100618,0.001316264,0.012004655,-0.009019554,0.01376187,0.009210453,
20100621,-0.003864299,-0.011703216,-0.003403786,0.003335431,0.0004469,
20100622,-0.016201225,-0.011154986,-0.025317808,-0.030114937,-0.020549706,
20100623,-0.002989939,-0.075499709,-0.002333721,0.003426124,-0.010780906,
20100624,-0.016946284,-0.003957822,-0.051539641,-0.015035468,-0.017448341,
20100625,0.002855283,-0.013641625,-0.004932143,0.020925526,-0.018953488,
20100628,-0.00203601,-0.038591151,-0.004956262,-0.004802514,,
20100629,-0.031508231,-0.065466952,-0.073438811,-0.056701577,,
20100630,-0.010164453,-0.017626437,-0.021622081,-0.012900859,,
20100701,-0.003245714,0.008664356,0.009517564,-0.001666388,,
20100702,-0.004673272,0.002622558,-0.030222122,-0.013260534,,
20100706,0.005344726,-0.014697481,-0.018297381,0.010588741,,
20100707,0.030850023,0.01693971,0.048519651,0.038860071,,
20100708,0.009368655,0.002237495,-0.002709668,0.015796575,,
20100709,0.007178064,0.012950776,-0.004079309,0.024240803,,
20100712,0.000732634,-0.004052199,0.002721294,-0.006822219,,
20100713,0.015261823,0.036960468,0.021506078,0.038304909,,
20100714,-0.000155144,-0.002850058,-0.010694988,-0.001348909,,
20100715,0.001195388,0.006755133,-0.00404015,-0.002853066,,
20100716,-0.029242909,-0.029853206,-0.005412622,-0.039407371,,
20100719,0.00596407,0.010171099,0.009453178,0.013360352,,
20100720,0.011351874,0.007202003,0.02127703,0.024842845,,
20100721,-0.012902699,-0.007201871,-0.026668463,0.006602158,,
20100722,0.022263688,0.032358762,0.027982804,0.016756817,,
